2.36221	-7.40384	-8.66235	-4.59183	4.91056	-4.77568	-4.78016	8.11287	8.36097	-4.64735	
2.41317	-7.36282	-8.59871	-4.56535	5.04004	-4.72557	-4.77951	8.11779	8.33378	-4.75358	
2.59377	-7.39504	-8.60865	-4.59723	5.10415	-4.76196	-4.82064	8.11296	8.34301	-4.81044	
2.4225	-7.58468	-8.8448	-4.68841	4.7568	-4.93314	-4.8899	8.08848	8.36022	-4.70348	
2.23149	-8.29197	-9.64605	-4.63889	4.74712	-4.73665	-4.8195	8.07426	8.35589	-4.80495	
2.37511	-8.32711	-9.69287	-4.66799	4.63955	-4.80484	-4.83444	8.08409	8.35796	-4.83282	
2.37453	-7.89898	-9.32901	-4.61812	4.54891	-4.66267	-4.74421	8.08697	8.3642	-4.76661	
2.40225	-7.78717	-9.20992	-4.67971	4.50419	-4.7599	-4.80688	8.08782	8.36106	-4.80251	
2.79029	-7.70127	-9.13546	-4.74146	4.40708	-4.73881	-4.84596	8.09106	8.36571	-4.80209	
2.98701	-7.47692	-8.90449	-4.61076	4.45645	-4.75083	-4.69295	8.08252	8.36655	-4.74269	
2.66934	-7.98545	-9.38608	-4.78237	4.66142	-4.78803	-4.74512	8.09019	8.37855	-4.79138	
2.30209	-7.97158	-9.53191	-4.65772	4.7426	-4.78471	-4.80294	8.09485	8.37028	-5.09417	
2.41466	-7.94535	-9.46051	-4.69754	4.7299	-4.81297	-4.8664	8.10301	8.37966	-5.02083	
2.42647	-7.91929	-9.42653	-4.65262	4.8409	-4.74213	-4.76065	8.06994	8.37631	-4.96743	
2.49185	-8.71166	-10.1789	-4.58366	4.87971	-4.71975	-4.73205	8.06415	8.37604	-4.75208	
2.50063	-7.29043	-8.74371	-4.70015	4.82482	-4.73617	-4.72844	8.06763	8.38057	-4.74166	
2.56457	-7.30161	-8.72326	-4.64813	4.69057	-4.80004	-4.81519	8.06808	8.37805	-4.85624	
2.29112	-7.23213	-8.69617	-4.61052	4.43393	-4.7785	-4.78514	8.08423	8.35197	-4.85595	
2.29796	-7.78077	-9.24323	-4.70299	4.51382	-4.75562	-4.75923	8.11061	8.36354	-4.82238	
2.39467	-7.78225	-9.18928	-4.70213	4.58091	-4.84088	-4.79981	8.10862	8.36882	-4.75488	
2.52823	-7.62779	-9.08595	-4.6377	4.84053	-4.75208	-4.80489	8.14421	8.38213	-4.90078	
2.37293	-8.05939	-9.39001	-4.76028	4.68907	-4.89125	-4.80487	8.10446	8.42595	-4.49647	
